City_ID,City,Country,Max Temp,City Description,Lat,Lng,Hotel Name
521,Ban Nahin,LA,58.69,broken clouds,18.2418,104.2122,
522,Beloha,MG,75.87,overcast clouds,-25.1667,45.05,
523,Pacasmayo,PE,75.25,broken clouds,-7.4006,-79.5714,El Sol de Pacasmayo Hotel
524,Iranshahr,IR,70.14,clear sky,27.2025,60.6848,نیک سرشت
527,Basco,PH,72.1,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
528,Iracoubo,GF,79.92,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
530,Japura,ID,73.87,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
533,Aswan,EG,58.66,clear sky,24.0934,32.907,Nuba Nile
535,Sao Filipe,CV,75.34,clear sky,14.8961,-24.4956,Hotel Xaguate
537,Paso De Carrasco,UY,75.65,few clouds,-34.8603,-56.0522,Hotel Sofitel Montevideo Casino Carrasco and Spa
544,Viedma,AR,62.51,overcast clouds,-40.8135,-62.9967,Hotel Cristal
545,Massakory,TD,77.5,clear sky,12.996,15.7293,
551,Cozumel,MX,79.0,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
556,Mafinga,TZ,65.68,overcast clouds,-7.25,35.0667,
557,Charters Towers,AU,71.06,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
560,San Ignacio,BZ,69.94,overcast clouds,17.1561,-89.0714,Rainforest Haven Inn
561,Tanete,ID,75.96,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
564,Sawang Daen Din,TH,72.01,broken clouds,17.4753,103.4575,บ้านเจเน็ต คอมพิวเตอร์
567,Truro,GB,51.96,scattered clouds,50.2653,-5.0544,Mannings Hotel
568,Cabras,IT,51.08,overcast clouds,39.93,8.5314,Hotel Villa Canu
570,Nautla,MX,52.97,overcast clouds,20.2167,-96.7833,Casa Blanca
571,Kabanjahe,ID,63.36,overcast clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
572,Tshikapa,CD,76.87,scattered clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
574,Atambua,ID,74.41,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
576,Imperia,IT,50.0,few clouds,43.9667,7.7833,La Stregatta
582,Amahai,ID,78.06,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
585,Paciran,ID,78.62,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
586,Moranbah,AU,70.36,scattered clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
588,Bauchi,NG,79.65,clear sky,10.5,10.0,
592,La Esperanza,GT,60.62,overcast clouds,14.8667,-91.5667,Posada Don Teco
594,Panaba,MX,77.59,broken clouds,21.2833,-88.2667,Hotel California
596,Ambilobe,MG,74.46,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
597,Ramtek,IN,59.76,clear sky,21.4,79.3333,"Tambulkar Sir Home (""Janaki Laxmi"")"
601,Comodoro Rivadavia,AR,69.66,few clouds,-45.8667,-67.5,Austral Hotel
605,Enfield,AU,73.72,clear sky,-34.8526,138.6026,Country Comfort Hotel Adelaide Manor
609,Ratnagiri,IN,70.95,clear sky,16.9833,73.3,Hotel Landmark
616,Rudbar,AF,66.31,scattered clouds,30.15,62.6,
618,Maun,BW,76.8,broken clouds,-19.9833,23.4167,Enviro Villa
624,Darnah,LY,59.45,clear sky,32.767,22.6367,فندق الفردوس
627,Tabas,IR,52.43,broken clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
629,Pisco,PE,68.05,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
639,Cervo,ES,54.97,clear sky,43.6702,-7.4101,Hotel Spa Galatea
641,Ulladulla,AU,65.88,overcast clouds,-35.35,150.4667,Sandpiper Motel
642,Mbanza-Ngungu,CD,73.08,few clouds,-5.25,14.8667,Hotel Full Business
645,Kibaya,TZ,60.17,overcast clouds,-5.3,36.5667,Lusaka Hotel
648,Veinticinco De Mayo,AR,71.06,broken clouds,-35.4323,-60.1727,Estancia La Rosada
650,Balurghat,IN,57.81,few clouds,25.2167,88.7667,"Circuit House, Balurghat"
652,Nelson Bay,AU,71.01,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
653,Tortoli,IT,54.16,overcast clouds,39.9256,9.6572,Hotel La Bitta
657,Popondetta,PG,74.88,overcast clouds,-8.7537,148.2534,Timos Transit House
658,Mawlaik,MM,57.99,scattered clouds,23.6333,94.4167,AKZ Guest House
659,Surt,LY,63.63,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
660,Nago,JP,59.07,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
663,Bhilwara,IN,58.95,clear sky,25.35,74.6333,Ranbanka Heritage Resort Bhilwara
664,Nakhon Phanom,TH,59.92,broken clouds,17.3333,104.4167,ป่ายางรีสอร์ท
667,Moca,DO,72.59,broken clouds,19.5,-70.5,La Aldea
670,Pathalgaon,IN,55.92,clear sky,22.5667,83.4667,Queens Park Marriage Garden
