City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Description
207,Carnarvon,AU,-24.8667,113.6333,82.47,78,24,9.22,few clouds
208,Saldanha,ZA,-33.0117,17.9442,89.65,64,10,10.85,clear sky
209,Korem,ET,12.5058,39.5228,53.96,73,56,5.77,broken clouds
210,Montemorelos,MX,25.2,-99.8167,45.3,33,1,5.26,clear sky
211,Saskylakh,RU,71.9167,114.0833,-29.67,100,85,4.41,overcast clouds
212,Saint George,US,37.1041,-113.5841,47.35,46,0,0.0,clear sky
213,Shu,KZ,43.5983,73.7614,34.18,36,0,3.91,clear sky
214,Rehoboth,NA,-23.3167,17.0833,72.82,61,97,15.61,light rain
215,Abha,SA,18.2164,42.5053,60.62,72,20,6.91,few clouds
216,General Pico,AR,-35.6566,-63.7568,75.0,36,59,15.48,broken clouds
217,Hofn,IS,64.2539,-15.2082,28.98,59,100,9.1,overcast clouds
218,Kaeo,NZ,-35.1,173.7833,72.32,98,96,8.14,overcast clouds
219,Keti Bandar,PK,24.1447,67.4497,71.44,64,0,9.37,clear sky
220,Henties Bay,NA,-22.116,14.2845,70.86,76,9,8.05,clear sky
221,Shache,CN,38.4167,77.2406,30.7,54,48,6.53,scattered clouds
222,Lebu,CL,-37.6167,-73.65,64.42,65,0,19.15,clear sky
223,Inuvik,CA,68.3499,-133.7218,-31.79,68,20,1.14,few clouds
224,Isangel,VU,-19.55,169.2667,79.29,90,100,12.5,light rain
225,Waingapu,ID,-9.6567,120.2641,78.91,87,100,7.49,overcast clouds
226,Bayji,IQ,34.9311,43.487,53.62,53,79,7.47,broken clouds
227,Mauganj,IN,24.6833,81.8833,53.69,58,0,3.94,clear sky
228,Talcahuano,CL,-36.7167,-73.1167,69.48,56,0,13.8,clear sky
229,San Cristobal,VE,7.7669,-72.225,68.18,47,69,0.89,broken clouds
230,Talnakh,RU,69.4865,88.3972,-12.24,100,96,3.13,overcast clouds
231,Segezha,RU,63.7415,34.3222,16.68,89,100,17.92,overcast clouds
232,Thompson,CA,55.7435,-97.8558,-36.24,67,20,0.0,few clouds
233,Moose Factory,CA,51.2585,-80.6094,-4.0,59,0,10.36,clear sky
234,Yugorsk,RU,61.3133,63.3319,17.13,95,100,7.25,light snow
235,Floro,NO,61.5996,5.0328,35.96,93,100,25.32,moderate rain
236,Meulaboh,ID,4.1363,96.1285,75.97,88,100,6.49,overcast clouds
237,Requena,ES,39.4883,-1.1004,51.13,73,100,3.67,overcast clouds
238,Udachnyy,RU,66.4167,112.4,-32.08,100,80,3.47,broken clouds
239,Olinda,BR,-8.0089,-34.8553,85.73,58,40,6.91,scattered clouds
240,Husavik,IS,66.0449,-17.3389,12.11,96,99,15.1,snow
241,Port Macquarie,AU,-31.4333,152.9167,62.56,72,95,13.65,overcast clouds
242,Aguimes,ES,27.9054,-15.4461,68.67,60,0,5.75,clear sky
243,Along,IN,28.1667,94.7667,47.01,98,98,1.39,overcast clouds
244,Nome,US,64.5011,-165.4064,1.47,46,0,12.66,clear sky
245,North Platte,US,41.1239,-100.7654,45.32,42,3,1.01,clear sky
246,Doume,CM,4.2333,13.45,83.01,20,83,2.39,broken clouds
247,Rybinsk,RU,58.0446,38.8426,1.11,100,49,4.36,scattered clouds
